"CID","Result","query"
"2730","The Henry's Law constant for chlorpyrifos is 3.55X10-5 atm-cu m/mole at 25 °C(1). This  Henry's Law constant indicates that chlorpyrifos is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 2.2 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 21.5 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The estimated volatilization half-life from a model pond is about 2 years if adsorption is considered(3). In a laboratory study, 50 ppb of chlorpyrifos added to 10 liters of water was volatilized 85% in 24 hours(4). In marine sediment under moist and flooded conditions using a continuous flow system, volatilization of chlorpyrifos accounted for 0.8 to 1% loss during the first ten days of application(5). The volatilization half-life of chlorpyrifos from 3 moist soils was in the range of 45-163 hours using an airstream of 1 km/hr passed over the soil(4). The volatility of chlorpyrifos was studied under field conditions(6,7); following application of 1.5 kg/ha, the highest flux rates were observed in the first few hours after application, with particularly large values when heavy dew was present on the surface(6,7); flux rates usually declined to non-detectable levels by about noon each day(6,7). Chlorpyrifos applied to dry soil lost 0.64% of dose applied via volatilization after 3.2 days at an air temperature of 25 °C(8). In several tests lasting 7-11 days, chlorpyrifos applied to turf lost a mean amount of 8.25% to volatilization(9). In field tests studying volatilization of chlorpyrifos applied to potato crops, as much as 65% of applied dose was estimated to have volatilized, most within the first few days(10). An experimental volatilization half-life of 3 days was determined for chlorpyrifos from moist soil surfaces in a laboratory study(11).","CHLORPYRIFOS"
"28780","The Henry's Law constant for benomyl is 4.93X10-12 atm-cu m/mole(1). This Henry's Law constant indicates that benomyl is expected to be essentially nonvolatile from water surfaces(2). Benomyl's Henry's Law constant(1) indicates that volatilization from moist soil surfaces is not expected to be an important fate process(SRC). Benomyl is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 3.7X10-9 mm Hg(3).","BENOMYL"
"2912","The Henry's Law constant for cypermethrin is estimated as 2.4X10-7 atm-cu m/mole(SRC) derived from its vapor pressure, 1.7X10-9 mm Hg(1), and water solubility, 4X10-3 mg/L(1). This Henry's Law constant indicates that cypermethrin is expected to be essentially nonvolatile from water surfaces(2). Cypermethrin is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","CYPERMETHRIN"
"29393","The Henry's Law constant for oryzalin is estimated as 1.9X10-9 atm-cu m/mole(SRC), derived from its vapor pressure, 9.75X10-9 mm Hg(1), and water solubility, 2.5 mg/l(2). This Henry's Law constant indicates that oryzalin is expected to be essentially nonvolatile from water surfaces(3). Under field conditions, herbicidal applications of oryzalin to soil surfaces do not volatilize appreciably(4,5). Vapor loss measurements from a moist Lakeland sand at 50 °C, with an air flow rate of 50 ml/min for 3 hr, revealed virtually no vapor losses of oryzalin(6,7). Actual loss was only 0.1% or less at 30, 40 and 50 °C(7). Oryzalin is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","ORYZALIN"
"29575","The Henry's Law constant for 1,2,3,7,8,9-hexachlorodibenzo-p-dioxin is estimated as 1.9X10-6 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This Henry's Law constant indicates that 1,2,3,7,8,9-hexachlorodibenzo-p-dioxin is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 2 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 28 days(SRC). 1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column(SRC). The estimated volatilization half-life from a model pond is 65 years if adsorption is considered(3). 1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 4.88X10-11 mm Hg(4).","1,2,3,7,8,9-HEXACHLORODIBENZO-P-DIOXIN"
"299","The Henry's Law constant for kepone is estimated as 5.4X10-8 atm-cu m/mole(SRC) derived from its vapor pressure, 2.25X10-7 mm Hg(1), and water solubility, 2.7 mg/L(1). The Henry's Law constant indicates that kepone is expected to be essentially nonvolatile from water surfaces(2). Kepone's estimated Henry's Law constant indicates that volatilization from moist soil is not expected to occur(SRC). Kepone is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1). However, laboratory tests have measured small amounts of kepone volatilization from soil and water(1). Volatilization was slower from water than from sand, loam or humus soil(1). Percent kepone volatilized per mL evaporated water at 25 °C from 50 mL water, first hr, 0.025%; second hr, 0.024%; percent volatilized from soil, 1st hr (2nd hr), sandy soil, 0.029 (0.036); loamy soil, 0.038 (0.035); humus soil, 0.029 (0.032)(1). It was estimated that up to 16% of applied kepone may volatilize from loamy soil outdoors over a time-span of 1 vegetation period(1).","CHLORDECONE (KEPONE)"
"3026","The Henry's Law constant for dibutyl phthalate is reported as 1.81X10-6 atm-cu m/mole(1). This Henry's Law constant indicates that dibutyl phthalate is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 34 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 250 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The estimated volatilization half-life from a model pond is 22 years if adsorption is considered(3). Dibutyl phthalate's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Dibutyl phthalate is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 2.01X10-5 mm Hg(4).","DIBUTYL PHTHALATE"
"3032297","Volatilization from water surfaces, moist or dry soil is not expected given that nabam decomposes rapidly to ethylenethiourea(1).","NABAM"
"3032552","If released into water, nitrogen dioxide is expected to decompose to nitric acid(1). This compound is also expected to decompose in moist soil surfaces(1). The potential for volatilization of nitrogen dioxide from dry soil surfaces may exist(SRC) based upon a vapor pressure of 900 mm Hg at 25 °C(2).","NITROGEN DIOXIDE"
"3032581","Volatilization from water and moist soil surfaces is not expected to be an important fate process based upon rapid degradation of maneb in the environment by hydrolysis, oxidation, and photolysis(1). Maneb is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 7.5X10-8 mm Hg(2).","MANEB"
"3032792","The Henry's Law constant for thiophanate-ethyl is estimated as 5.2X10-13 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This Henry's Law constant indicates that thiophanate-ethyl is expected to be essentially nonvolatile from water surfaces(2). Thiophanate-ethyl's Henry's Law constant(1) indicates that volatilization from moist soil surfaces will not occur(SRC). Thiophanate-ethyl is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 1.2X10-9 mm Hg(SRC), determined from a fragment constant method(3).","THIOPHANATE ETHYL"
"3034368","The Henry's Law constant for mancozeb is estimated as 4.4X10-9 atm-cu m/mole(SRC) derived from its vapor pressure, 9.8X10-8 mm Hg(1), and water solubility, 6.2 mg/L(2). This Henry's Law constant indicates that mancozeb is expected to be essentially nonvolatile from water surfaces(3). Mancozeb is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","MANCOZEB"
"3035","The Henry's Law constant for DDE is 4.16X10-5 atm-cu m/mole(1). This Henry's Law constant indicates that DDE may volatilize from water surfaces(2). However, volatilization from water surfaces is expected to be severely attenuated by adsorption to suspended solids and sediment in the water column(SRC). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 1.8 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 18 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The estimated volatilization half-life from a model pond is 5 years if adsorption is considered(3). DDE's Henry's Law constant indicates that volatilization from moist soil surfaces may occur; however adsorption is expected to attenuate this process(SRC). DDE is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 6X10-6 mm Hg(4)..
... DDE volatilized from distilled water and natural water solutions five times faster than DDT under identical conditions.","DDE"
"3036","The Henry's Law constant for DDT is 8.32X10-6 atm-cu m/mole(1). This Henry's Law constant indicates that DDT is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 8.5 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 68 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The estimated volatilization half-life from a model pond is 300 years if adsorption is considered(3). DDT's Henry's Law constant indicates that volatilization from moist soil surfaces may occur, although adsorption is expected to attenuate this process(SRC). DDT is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 1.60X10-7 mm Hg(4)..
The volatility of DDT from various waters with air passing over the gently shaken 1 part per trillion solutions at 10 miles/hr led to half-lives of: distilled water - 3.9 hr, San Francisco Bay - 6.5 hr, American River - 6.0 hr and Sacramento River - 10 hr(1). Loss of 20-50% of DDT over 12 days from two natural waters changed to 0% loss when sediment was added(1). The half-life for volatilization from soil from a 3 year field study in Kenya was 110 days(3). Calculated half-lives for evaporation of DDT from soil from a depth of 1 cm ranged from 2,069-2,300 days(4). The % volatility of DDT from various surfaces after 48 hours: pure film on glass - 97.1%; droplets of aqueous emulsion on glass - 46.0%; on leaves - 40.6%(5). The volatilization half-life of DDT from an unspecified soil type was reported as 173 days(6).","DDT"
"30479","The Henry's Law constant for metribuzin is estimated as 1.2X10-10 atm-cu m/mole(SRC) derived from its vapor pressure, 4.35X10-7 mm Hg(1), and water solubility, 1050 mg/l(1). This Henry's Law constant indicates that metribuzin is expected to be essentially nonvolatile from water surfaces(2). In growth chamber studies using Ontko and Chehalis soils, volatilization rates of applied metribuzin over a 12 day period were negligible(1). However, using glass plates, it was shown that approximately 50% of applied metribuzin volatilized within 24 hrs, slowing to a 15-20% loss over the next 11 days. A field study was conducted using a Charlottetown fine sandy loam (2.1% OM, 55.1% sand, 30.2% silt, 14.7% clay, pH=6.1) and Berwick loamy sand (4.2% OM, 71.2% sand, 10.8% silt, 18.0% clay, pH=5.2), Prince Edward Island, Canada, with metribuzin applied at 0.5 kg/ha in 400 L/ha of water(4). Calculated mean half-lives in Berwirk loamy sand were 5.9 and 16.2 days in surface and incorporated metribuzin, respectively, and in Charlottetown fine sandy loam were 5.3 and 14.0 days, respectively(4). In both soil types, half-lives were nearly doubled when the soil was covered over(4). While the loss processes were not identified specifically as volatilization or pohtodegradation, the increase in persistence suggests that abiotic degradation of metribuzin is influenced by tillage practices and ground cover(4). Metribuzin is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 4.35X10-7 mm Hg(1).","METRIBUZIN"
"3082","The Henry's Law constant for dimethoate is estimated as 2.4X10-10 atm-cu m/mole(SRC) derived from its vapor pressure, 1.87X10-6 mm Hg(1), and water solubility, 23,300 mg/L(1). This Henry's Law constant indicates that diemthoate is expected to be essentially nonvolatile from water surfaces(2). After 6 days, average dimethoate losses due to evaporation from uncovered soil columns were 40.4, 32.3, 23.0, and 24.9% in sand, sandy clay loam, loam, and clay loam, respectively; dimethoate losses were directly proportional to water losses(3). Dimethoate is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1). The vaporization index for dimethoate was estimated to be 0.2-3 kg/ha/yr, or more(4).","DIMETHOATE"
"3102","The Henry's Law constant for benzophenone is estimated as 1.9X10-6 atm-cu m/mole(SRC) derived from its vapor pressure, 1.93X10-3 mm Hg(1), and water solubility, 137 mg/L(2). This Henry's Law constant indicates that benzophenone is expected to volatilize from water surfaces(3). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(3) is estimated as 15 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(3) is estimated as 110 days(SRC). Benzophenone's estimated Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Benzophenone is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","ALPHA-OXODIPHENYLMETHANE"
"31200","The Henry's Law constant for fenitrothion is 9.3X10-7 atm-cu m/mole(1). This Henry's Law constant indicates that fenitrothion is expected to be essentially nonvolatile from water surfaces(2). However, volatilization half-life of fenitrothion from a 5 mg/L distilled water solution at a temperature 20 °C was determined to be 65 days(4). Addition of fulvic acid at a concentration 5 mg/L increased the volatilization half-life to more than 180 days(4). However, the volatilization half-life from surface slicks after spraying fenitrothion formulation over a pond water was only 18 minutes at 20 °C(4). Fenitrothion's Henry's Law constant(1) indicates that volatilization from moist soil surfaces would occur slowly(SRC). Fenitrothion is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 5.4X10-5 mm Hg at 20 °C(3).","FENITROTHION"
"31242","The Henry's Law constant for p-ethylphenol is estimated as 1.2X10-6 atm-cu m/mole(SRC) from its experimental values for vapor pressure, 0.372 mm Hg at 25 °C(1), and water solubility, 4900 mg/L at 25 °C(2). This value indicates that p-ethylphenol will volatilize from water surfaces(3,SRC). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec) is estimated as approximately 33 days(3,SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec) is estimated as approximately 245 days(3,SRC). p-Ethylphenol's values for vapor pressure(1) and Henry's Law constant(1,2,SRC) indicate that volatilization from dry and moist soil surfaces is not likely to be a major fate process for this compound(SRC).","1-ETHYL-4-HYDROXYBENZENE"
"32154","The Henry's Law constant for pronamide is estimated as 1.9X10-6 atm-cu m/mole(SRC) from its experimental values for vapor pressure, 8.5X10-5 mm Hg(1), and water solubility, 15 mg/L(2). This value indicates that pronamide will volatilize from water surfaces(3,SRC). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec) is estimated as approximately 31 days(3,SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec) is estimated as approximately 230 days(3,SRC). Pronamide's values for vapor pressure(1) and Henry's Law constant(1,2,SRC) indicate that volatilization from dry and moist soil should not occur(SRC). However, volatilization of pronamide from soil surfaces under very hot and dry conditions has been observed during laboratory experiments(4).","PRONAMIDE"
"3224","The Henry's Law constant for endosulfan is 6.5X10-5 atm-cu m/mole(1). This Henry's Law constant indicates that endosulfan may be expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(3) is estimated as 33 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 16 days(SRC). Endosulfan's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Endosulfan is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure of 1.73X10-7 mm Hg(3).","ENDOSULFAN"
"3347","The Henry's Law constant for fenvalerate is estimated as 3.4X10-8 atm-cu m/mole(SRC) derived from its vapor pressure, 1.5X10-9 mm Hg(1), and water solubility, 2.4X10-2 mg/L(2). This Henry's Law constant indicates that fenvalerate is expected to be essentially nonvolatile from water surfaces(3). Fenvalerate's estimated Henry's Law constant indicates that volatilization from moist soil surfaces may not occur(SRC). Fenvalerate is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1). During a laboratory metabolism study, volatilization of fenvalerate from activated sludge, sediment or soil was less than 0.1%(4).","FENVALERATE"
"335","The Henry's Law constant for o-cresol is 1.2X10-6 atm-cu m/mole(1). This Henry's Law constant indicates that o-cresol is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as approximately 32 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as approximately 235 days(SRC). o-Cresol's Henry's Law constant(1) indicates that volatilization from moist soil surfaces may occur(SRC). o-Cresol may volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 0.18 mm Hg at 25 °C(3).","O-CRESOL"
"3352","The Henry's Law constant for fipronil is estimated as 8.4X10-10 atm-cu m/mole(SRC), derived from its vapor pressure, 2.78X10-9 mm Hg(1), and water solubility, 1.9 mg/L(1). This Henry's Law constant indicates that fipronil is expected to be essentially nonvolatile from water and moist soil surfaces(2). Fipronil is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","FIPRONIL"
"33599","The Henry's Law constant for diisodecyl phthalate is estimated as 1.1X10-6 atm-cu m/mole(SRC) derived from its vapor pressure, 5.28X10-7 mm Hg(1), and water solubility, 0.28 mg/L(2). This Henry's Law constant indicates that diisodecyl phthalate is expected to volatilize from water surfaces(3). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(3) is estimated as 70 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(3) is estimated as 1.4 years(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The estimated volatilization half-life from a model pond is 2000 years if adsorption is considered(4). Diisodecyl phthalate's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Diisodecyl phthalate is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","1,2-BENZENEDICARBOXYLIC ACID, DIISODECYL ESTER"
"33775","The Henry's Law constant for norflurazon is estimated as 3.4X10-10 atm-cu m/mole(SRC) derived from its vapor pressure, 2.89X10-8 mm Hg(1), and water solubility, 33.7 mg/L(1). This Henry's Law constant indicates that norflurazon is expected to be essentially nonvolatile from water surfaces(2). Norflurazon is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","NORFLURAZON"
"34466","The Henry's Law constant for octachlorostyrene is estimated as 2.3X10-4 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This Henry's Law constant indicates that octachlorostyrene is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 13 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 10 days(SRC). Octachlorostyrene's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). However, volatilization from moist soil water surfaces is expected to be attenuated by adsorption(SRC). The estimated volatilization half-life from a model pond is 670 yrs if adsorption is considered(3). Octachlorostyrene is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 1.3X10-5 mm Hg(SRC), determined from a fragment constant method(4).","OCTACHLOROSTYRENE"
"3589","The Henry's Law constant for heptachlor is 2.94X10-4 atm-cu m/mole(1). This Henry's Law constant indicates that heptachlor is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 6 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 9 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column(SRC). The estimated volatilization half-life from a model pond is 1.5 years if adsorption is considered(3). The volatilization half-life of heptachlor from glass surfaces was determined to be 0.73 days from static distilled water and 0.29 days from stirred river water(4). Heptachlor's Henry's Law constant(1) indicates that volatilization from moist soil surfaces may occur(SRC). When heptachlor was applied to orchard grass, approximately 90% was lost in 7 days(5). Six hours and 6 days after application of heptachlor to a moist soil surface, 50% and 90% of the heptachlor had volatilized, respectively(6). However, only 7% of heptachlor incorporated 7.5 cm into soil had volatilized after 167 days(6). Fifty hours following the application of heptachlor to a dry soil surface, 14 to 40% of the heptachlor had volatilized(6).","HEPTACHLOR"
"36400","The Henry's Law constant for Aroclor 1248 is 4.4X10-4 atm-cu m/mole(1). This Henry's Law constant indicates that Aroclor 1248 is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 8.4 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 8 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. Aroclor 1248's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). The volatilization half-life from a model pond is about 50 months when adsorption is considered(3). Aroclor 1248 is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 4.94X10-4 mm Hg(4). Volatilization of Aroclor 1248 was reported as 55.5% of the initial concentration after application to subaqueous quartz sand within 24 hrs(5). Congeners with the fewest number of chlorines were preferentially lost(5).","AROCLOR 1248"
"36462","The Henry's Law constant for etoposide is estimated as 1.7X10-30 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This Henry's Law constant indicates that etoposide is expected to be essentially nonvolatile from water surfaces(2). Etoposide's Henry's Law constant indicates that volatilization from moist soil surfaces is not expected(SRC). Etoposide is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 5.4X10-24 mm Hg(SRC), determined from a fragment constant method(3).","ETOPOSIDE"
"37123","The Henry's Law constant for diflubenzuron is estimated as 4.6X10-9 atm-cu m/mole(SRC) derived from its vapor pressure, 9X10-10 mm Hg(1), and water solubility, 0.08 mg/L(1). This Henry's Law constant indicates that diflubenzuron is expected to be essentially nonvolatile from water surfaces(2). Diflubenzuron's Henry's Law constant indicates that volatilization from moist soil surfaces is not expect to occur(SRC). Diflubenzuron is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","DIFLUBENZURON"
"37270","The half-life for volatilization of heptachlorodibenzo-p-dioxin from a river one meter deep flowing 1 m/sec with a wind velocity of 3 m/sec is estimated(SRC) to be 3.7 days at 25 °C(1) based on a Henry's Law constant of 2.18X10-5 atm-cu m/mole which has been estimated using a structure-based estimation method(2). Strong adsorption to sediment and suspended particulate matter, however, is expected to greatly attenuate the rate of volatilization in many natural waters(SRC). A half-life of >51 years for volatilization from a model pond can be estimated using a three-compartment EXAMS model which considers the effect of adsorption(3).","1,2,3,4,6,7,8-HEPTACHLORODIBENZO-P-DIOXIN"
"37517","The Henry's Law constant for iprodione is 3.12X10-9 atm-cu m/mole(1). This Henry's Law constant indicates that iprodione is expected to be essentially nonvolatile from water surfaces(2). Iprodione is also not expected to volatilize substantially from soil due to aerobic soil metabolism, hydrolysis, and its low vapor pressure of 3.75X10-9 mm Hg(3,4). In addition, an aerobic soil metabolism study indicated that only 5.27% of the applied iprodione had volatilized after 276 days in a sandy loam soil. Of this, 5.23% was radio-labeled carbon dioxide(3).","IPRODIONE"
"38018","The Henry's Law constant for Aroclor 1260 is 3.36X10-4 atm-cu m/mole(1). This Henry's Law constant indicates that Aroclor is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 11 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 9.4 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The estimated volatilization half-life from a model pond is 37 months to 300 years if adsorption is considered(3). Although the volatilization rate of Aroclor 1260 may be low from soil surfaces due to the tight adsorption and low vapor pressure, the total loss by volatilization over time may be significant because of the persistence and stability of Aroclor 1260(4). Studies indicate that volatilization of lower chlorinated and ortho-enriched congeners are greatly enhanced from wet versus dry sand or sediment(4). This was attributed to desorption followed by evaporation-enhanced volatilization(5). In one study, a series of experiments were conducted to measure the rate of volatile loss of Aroclor 1260 from subaqueous quartz sand under laboratory conditions(5). Congeners with the fewest number of chlorines were preferentially lost(5). Overall, 20% of the initial concentration of Aroclor 1260 applied to the subaqueous quartz sand volatilized within 24 hrs(5). Researchers studied the volatilization half-lives of a number of different Aroclor's in aqueous media; volatilization half-lives ranged from 10-12 days for volatilization from pure water and up to 52 days for volatilization of Aroclor 1260 from river water(6).","AROCLOR 1260"
"38479","The Henry's Law constant for pendimethalin is 8.56X10-7 atm-cu m/mole(1). This Henry's Law constant indicates that pendimethalin is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 72 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 530 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column.  The estimated volatilization half-life from a model pond is 9.6 years if adsorption is considered(3). In a laboratory experiment, 35% of pendimethalin volatilized from an aqueous solution in 36 hours at 30 °C(4). The half-life of pendimethalin from distilled water in a static experiment was 3.85 days(5), and that from a glass plate in winter was 4.88 days(5). Pendimethalin's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Volatilization of dinitroaniline herbicides (including pendimethalin) to the atmosphere following field application is recognized as one of the major pathways of herbicide loss(6); a study found that increase in relative humidity increases the rate of loss to the atmosphere(6). Pendimethalin is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 9.4X10-6 mm Hg(7). In a laboratory study, the max volatility rate for an air-dried loam soil was 5.4X10-5 ug/cu cm/hr while the rate was 38 times faster with moist soil(8)..
Volatilization loss of ring-labeled 14C-pendimethalin in 3 hours at 50 °C with an air flow of 50 mL/min was measured for various soils at different moisture levels(1). The results were (soil, loss): Lakeland sand (0.5% organic matter, 7.0% soil moisture), 4%; Lakeland sand (0.5% organic matter, 15.3% soil moisture), 3%; Hagerstown clay loam (1.9% organic matter, 25.8% moisture), 3%; Littleton silt loam (5.2% organic matter, 25.0% moisture), 2%(1). A laboratory study in which pendimethalin (0.5 ppm) volatilizing from dry, moist, and flooded Bosket sandy loam in a Petri dish was trapped on activated charcoal coated on the cover of the dish indicated that the amount of herbicide lost was very low at all moisture levels(2). A volatilization study using a soil of 2% organic matter and a 7-day observation period, found a pendimethalin loss of 3.7% which dropped to 3.0% with the addition of urea fertilizer(3); the volatization half-life was estimated to be about 107 days(3). Volatilization loss of ring-labeled 14C-pendimethalin ranged from 1.24-2.78% over a 28-day period using a sandy soil and a forest ecosystem soil(4). Pendimethalin readily volatilizes from leaf surfaces(5).","PENDIMETHALIN"
"39385","The Henry's Law constant for triadimefon is estimated as 8.10X10-11 atm-cu m/mole(SRC) derived from its vapor pressure, 1.50X10-8 mm Hg at 25 °C(1), and water solubility, 7.15 mg/L(1). This Henry's Law constant indicates that triadimefon is expected to be essentially nonvolatile from water surfaces(2). The Henry's Law constant for triadimefon indicates that volatilization from moist soil surfaces is not expected(SRC). Triadimefon is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(3). One study suggests volatility of triadimefon to be a greater factor than suggested by the vapor pressure and water solubility based upon a proposed volatilization equation(4).","TRIADIMEFON"
